Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
1,"RASCE2","4.7k","R0603-4k7","any","UCC14141-Q1 ENA divider bottom",CLASS,"R0603",0.3,0.3,"any"
1,"CASCF","330pF","MLCC-330pF-50V-C0G","any","UCC14141-Q1 FBVDD noise filter 330 pF (DS Table 6-1: more slows the hysteretic loop)",CLASS,"C0603",0.3,0.3,"C0G"
1,"RASCL","270","R0603-270R-1%","any","ASC opto LED series 270 R 1 % from UASCG: 10.8-15.8 mA, inside the VOW3120 10-16 mA recommended I_F (I_FLH 8 mA max, 25 mA abs; V_F 1.0-1.6 V — the TLP152's 261 R would reach 16.4 mA at the hot/high corner). Round 7 — 470 R gave 5.4-7 mA",CLASS,"R0603",0.3,0.3,"any"
1,"CASCD","12nF","MLCC-12nF-50V-C0G","any","ASC break-before-make delay 12 nF C0G on the 1.8 k Thevenin: LS ASC >= 3.4 us after the latch sets; the HS are already turning off (FS0B -> DRV_EN on the FS1B path, eFlexPWM fault on the MCU path) (round 7 RR05)",CLASS,"C0603",0.3,0.3,"C0G only"
1,"CB15S","47nF","MLCC-47nF-50V-X7R-0603","any","TPS55340 soft-start 47 nF",CLASS,"C0603",0.3,0.3,"any X7R"
1,"RB15Q","80.6k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet — SPEC: thick film ±1 %, 0.1 W, 75 V, AEC-Q200 (Yageo AC0603FR / Panasonic ERJ-3EKF class)",CLASS,"R0603",0.3,0.3,"any"
1,"RB15F1","110k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"RB15F2","9.53k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"RB15C","2k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet — SPEC: thick film ±1 %, 0.1 W, 75 V, AEC-Q200 (Yageo AC0603FR / Panasonic ERJ-3EKF class)",CLASS,"R0603",0.3,0.3,"any"
1,"RLD1","49.9k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet — SPEC: thick film ±1 %, 0.1 W, 75 V, AEC-Q200 (Yageo AC0603FR / Panasonic ERJ-3EKF class)",CLASS,"R0603",0.3,0.3,"any"
1,"RLD2","10k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet — SPEC: thick film ±1 %, 0.1 W, 75 V, AEC-Q200 (Yageo AC0603FR / Panasonic ERJ-3EKF class)",CLASS,"R0603",0.3,0.3,"any"
1,"RHWID","2.2k","R0603-2k2-1%","any","SKU identity (4XX IGBT) — harness pin 2 against the card's 10 k pull-up to VREF5; firmware refuses DRV_EN unless it matches the loaded parameter set",CLASS,"-",0.3,0.3,"-"
